	RSSUBMTHAIRY1	RSCONMTHAIRY3	RSSUBMTHAIRY3	RSCONMTHAIRY4	RSSUBMTHAIRY4	INRNACONMTHAIRY1	INRNACONMTHAIRY2	INRNACONMTHAIRY3	INRNACONMTHAIRY4	INRNASUBMTHAIRY1	INRNASUBMTHAIRY2	INRNASUBMTHAIRY3	INRNASUBMTHAIRY4	TOTCONMTHAIRY1	TOTCONMTHAIRY2	TOTCONMTHAIRY3	TOTCONMTHAIRY4	TOTSUBMTHAIRY1	TOTSUBMTHAIRY2	TOTSUBMTHAIRY3	TOTSUBMTHAIRY4	TRACONMTHAIRY1	TRACONMTHAIRY3	TRACONMTHAIRY4	TRASUBMTHAIRY1	TRASUBMTHAIRY3	TRASUBMTHAIRY4
Medtr0004s0600	1	14	18	34	0	9	9	7	15	11	18	36	4	122	0	0	350	316	132	497	77	97	0	50	0	0	50
Medtr0004s0610	0	2	4	0	0	14	8	19	16	25	13	21	12	116	104	6	94	17	85	56	63	0	0	7	0	0	107
Medtr0004s0650	34	277	296	630	43	28	51	17	37	30	32	44	27	1030	409	273	702	567	819	1491	546	1075	317	333	422	203	309
Medtr0005s0070	1	0	4	2	0	2	0	0	0	0	0	2	0	0	0	0	29	0	0	0	0	0	0	38	0	0	8
Medtr0005s0110	1	2	18	5	1	15	12	11	9	10	6	24	2	146	0	142	186	5	60	72	88	182	0	121	20	10	42
Medtr0005s0130	10	37	59	113	9	25	32	28	34	40	17	52	12	365	623	58	514	511	332	174	351	240	60	345	35	0	145
Medtr0005s0140	6	0	2	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0005s0150	484	72	569	307	361	0	0	1	0	1	0	3	3	0	0	0	34	0	0	0	23	0	0	8	0	13	0
Medtr0005s0160	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0005s0200	3	6	22	12	0	24	6	15	17	41	25	24	18	0	0	0	157	3	73	159	197	407	0	4	0	0	26
Medtr0005s0210	0	0	0	0	0	0	0	2	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0005s0220	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0005s0230	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0005s0240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Medtr0005s0250	3	24	31	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0005s0260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0006s0020	1	0	1	1	0	2	0	0	1	2	0	0	0	0	0	98	13	0	0	0	4	0	13	5	0	0	0
Medtr0006s0080	4	6	14	19	6	55	28	41	27	58	22	60	11	26	41	136	120	58	44	107	146	0	8	37	5	7	57
